"adj_rand" "est" "T" "seed"
0.466727438468551 "MaxPEAR" 0.35 2019
0.466727438468551 "MaxPEAR" 0.4 2019
0.466727438468551 "MaxPEAR" 0.45 2019
0.466727438468551 "MaxPEAR" 0.5 2019
0.466727438468551 "MaxPEAR" 0.55 2019
0.466727438468551 "MaxPEAR" 0.6 2019
0.466727438468551 "MaxPEAR" 0.65 2019
0.466727438468551 "MaxPEAR" 0.7 2019
0.466727438468551 "MaxPEAR" 0.75 2019
0.466727438468551 "MaxPEAR" 0.8 2019
0.466727438468551 "MaxPEAR" 0.85 2019
0.466727438468551 "MaxPEAR" 0.9 2019
0.466727438468551 "MaxPEAR" 0.95 2019
0.466727438468551 "MaxPEAR" 1 2019
0.33420365535248 "MaxPEAR" 0.05 2020
0.166666666666667 "MaxPEAR" 0.1 2020
0.33420365535248 "MaxPEAR" 0.15 2020
0.166666666666667 "MaxPEAR" 0.2 2020
0.166666666666667 "MaxPEAR" 0.25 2020
0.166666666666667 "MaxPEAR" 0.3 2020
0.33420365535248 "MaxPEAR" 0.35 2020
0.33420365535248 "MaxPEAR" 0.4 2020
0.33420365535248 "MaxPEAR" 0.45 2020
0.166666666666667 "MaxPEAR" 0.5 2020
0.166666666666667 "MaxPEAR" 0.55 2020
0.166666666666667 "MaxPEAR" 0.6 2020
0.33420365535248 "MaxPEAR" 0.65 2020
0.33420365535248 "MaxPEAR" 0.7 2020
0.166666666666667 "MaxPEAR" 0.75 2020
0.166666666666667 "MaxPEAR" 0.8 2020
0.33420365535248 "MaxPEAR" 0.85 2020
0.166666666666667 "MaxPEAR" 0.9 2020
0.166666666666667 "MaxPEAR" 0.95 2020
0.166666666666667 "MaxPEAR" 1 2020
1 "MaxPEAR" 0.05 2021
1 "MaxPEAR" 0.1 2021
1 "MaxPEAR" 0.15 2021
1 "MaxPEAR" 0.2 2021
1 "MaxPEAR" 0.25 2021
1 "MaxPEAR" 0.3 2021
1 "MaxPEAR" 0.35 2021
1 "MaxPEAR" 0.4 2021
1 "MaxPEAR" 0.45 2021
1 "MaxPEAR" 0.5 2021
1 "MaxPEAR" 0.55 2021
1 "MaxPEAR" 0.6 2021
1 "MaxPEAR" 0.65 2021
1 "MaxPEAR" 0.7 2021
1 "MaxPEAR" 0.75 2021
1 "MaxPEAR" 0.8 2021
1 "MaxPEAR" 0.85 2021
1 "MaxPEAR" 0.9 2021
1 "MaxPEAR" 0.95 2021
1 "MaxPEAR" 1 2021
0.651162790697674 "MaxPEAR" 0.05 2022
0.651162790697674 "MaxPEAR" 0.1 2022
